Balanced Accuracy
Model	BoW	CNN	LSTM	BERT
BoW	nan	7e-06	0.0003	0.001053
CNN	7e-06	nan	0.070655	0.000355
LSTM	0.0003	0.070655	nan	0.000565
BERT	0.001053	0.000355	0.000565	nan
AUC
Model	BoW	CNN	LSTM	BERT
BoW	nan	0.0	0.0	0.002923
CNN	0.0	nan	0.007057	0.000794
LSTM	0.0	0.007057	nan	0.000996
BERT	0.002923	0.000794	0.000996	nan
