Run Name,Table,Model,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN
CNN_20230222-2126,see_psych,CNN,0.8773102164268494,0.7248698472976685,0.8296916484832764,0.1250930875539779,0.5675675868988037,0.0702928900718689,0.8821720480918884,0.0702928870292887,0.9923645907897876,84.0,8318.0,1111.0,64.0
CNN_20230222-2156,see_psych,CNN,0.8105878829956055,0.7375398874282837,0.8334035873413086,0.0975124463438987,0.662162184715271,0.0526315793395042,0.8129175901412964,0.0526315789473684,0.9935191186001296,98.0,7665.0,1764.0,50.0
CNN_20230223-0937,see_psych,CNN,0.8513104319572449,0.7415940165519714,0.8352222442626953,0.1155279427766799,0.6283783912658691,0.0636114925146102,0.8548096418380737,0.0636114911080711,0.993222427603204,93.0,8060.0,1369.0,55.0
LSTM_20230223-1009,see_psych,LSTM,0.7569175958633423,0.7335610389709473,0.8077130317687988,0.0827423185110092,0.7094594836235046,0.0439330525696277,0.7576625347137451,0.0439330543933054,0.9940169750939196,105.0,7144.0,2285.0,43.0
LSTM_20230223-1357,see_psych,LSTM,0.7600501179695129,0.7118743658065796,0.786058247089386,0.0785886123776435,0.662162184715271,0.0417732298374176,0.761586606502533,0.041773231031543,0.99308532706403,98.0,7181.0,2248.0,50.0
LSTM_20230223-1720,see_psych,LSTM,0.8135115504264832,0.7090965509414673,0.788227379322052,0.090631365776062,0.6013513803482056,0.049008809030056,0.8168416619300842,0.0490088105726872,0.9923978868702488,89.0,7702.0,1727.0,59.0
LSTM_20230223-2051,see_psych,LSTM,0.8372141718864441,0.7377605438232422,0.8083615303039551,0.1076130494475364,0.6351351141929626,0.0587867423892021,0.8403860330581665,0.0587867417135709,0.993231386312359,94.0,7924.0,1505.0,54.0
LSTM_20230224-0116,see_psych,LSTM,0.8528766632080078,0.7124612331390381,0.7984746694564819,0.1065313965082168,0.5675675868988037,0.0587823651731014,0.8573549389839172,0.0587823652904128,0.9921453117329406,84.0,8084.0,1345.0,64.0
BERT_20230224-0510,see_psych,BERT,0.8500574231147766,0.6677999496459961,0.7328920364379883,0.0899873226881027,0.4797297418117523,0.0496503487229347,0.8558701872825623,0.0496503487229347,0.9905486702919006,71.0,8070.0,1359.0,77.0
BERT_20230224-0957,see_psych,BERT,0.9246110320091248,0.5992506742477417,0.7096779942512512,0.0974999964237213,0.2635135054588318,0.0598159506916999,0.9349877834320068,0.0598159506916999,0.987787127494812,39.0,8816.0,613.0,109.0
BERT_20230224-1612,see_psych,BERT,0.9397515058517456,0.5736861824989319,0.70909184217453,0.0913385823369026,0.1959459483623504,0.0595482550561428,0.9514264464378356,0.0595482550561428,0.9869086742401124,29.0,8971.0,458.0,119.0
BERT_20230224-2229,see_psych,BERT,0.9589641690254213,0.5368884205818176,0.6379907131195068,0.0709219798445701,0.1013513505458831,0.0545454546809196,0.9724255204200744,0.0545454546809196,0.9857019782066344,15.0,9169.0,260.0,133.0
BERT_20230225-0613,see_psych,BERT,0.8575754165649414,0.6416897773742676,0.7232861518859863,0.0833333358168602,0.4189189076423645,0.0462686568498611,0.8644607067108154,0.0462686568498611,0.989559292793274,62.0,8151.0,1278.0,86.0
