Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20221027-1614,20221027-1623,bow_tuning,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,rf,1.0,200.0,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8172110319137573,0.8054805994033813,0.8886010646820068,0.847564160823822,0.8835092782974243,0.814429521560669,0.7274519205093384,0.8144295302013422,0.821826280623608,2427.0,1476.0,553.0,320.0,BoW & 0.817 & 0.805 & 0.889 & 0.848 & 0.814 & 0.884 \\,
,LSTM_20221029-1043,20221029-1114,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.1,,False,100.0,0.0001,5.0,undersampling,0.7923301458358765,0.7895536422729492,0.8733728528022766,0.8153170347213745,0.8107893466949463,0.8198956847190857,0.7683178782463074,0.8198957079823506,0.7573753814852492,2044.0,1489.0,449.0,477.0,LSTM & 0.792 & 0.79 & 0.873 & 0.815 & 0.82 & 0.811 \\,
,LSTM_20221029-1114,20221029-1203,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.1,,False,100.0,5e-05,5.0,undersampling,0.7936757206916809,0.7897889614105225,0.8741121292114258,0.817893922328949,0.8195160627365112,0.8162781596183777,0.7600619196891785,0.8162781509284868,0.7640041493775933,2066.0,1473.0,465.0,455.0,LSTM & 0.794 & 0.79 & 0.874 & 0.818 & 0.816 & 0.82 \\,
,LSTM_20221029-1203,20221029-1214,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.01,0.1,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.6114261150360107,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.611 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-1214,20221029-1239,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.1,,False,100.0,0.0001,5.0,undersampling,0.7882933616638184,0.7847902774810791,0.8705734014511108,0.8125496506690979,0.8115826845169067,0.8135188817977905,0.7579979300498962,0.8135188866799204,0.7556584362139918,2046.0,1469.0,469.0,475.0,LSTM & 0.788 & 0.785 & 0.871 & 0.813 & 0.814 & 0.812 \\,
,LSTM_20221029-1240,20221029-1322,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.1,,False,100.0,5e-05,5.0,undersampling,0.8046647310256958,0.7946745753288269,0.8769469261169434,0.834505021572113,0.8710829019546509,0.8008752465248108,0.7182662487030029,0.8008752735229759,0.8107163657542225,2196.0,1392.0,546.0,325.0,LSTM & 0.805 & 0.795 & 0.877 & 0.835 & 0.801 & 0.871 \\,
,LSTM_20221029-1322,20221029-1333,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.001,0.1,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.5733059644699097,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.573 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-1333,20221029-1401,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.1,,False,100.0,0.0001,5.0,undersampling,0.8093742728233337,0.7987799644470215,0.880528450012207,0.8391978144645691,0.8798096179962158,0.8021699786186218,0.7177502512931824,0.8021699819168173,0.8211334120425029,2218.0,1391.0,547.0,303.0,LSTM & 0.809 & 0.799 & 0.881 & 0.839 & 0.802 & 0.88 \\,
,LSTM_20221029-1401,20221029-1449,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.1,,False,100.0,5e-05,5.0,undersampling,0.7970396876335144,0.7881698608398438,0.873173713684082,0.8266615271568298,0.8560095429420471,0.7992592453956604,0.7203302383422852,0.7992592592592592,0.79363274587834,2158.0,1396.0,542.0,363.0,LSTM & 0.797 & 0.788 & 0.873 & 0.827 & 0.799 & 0.856 \\,
,LSTM_20221029-1449,20221029-1500,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0001,0.1,,False,100.0,1e-05,5.0,undersampling,0.565373420715332,0.5,0.604620099067688,0.7223495841026306,1.0,0.565373420715332,0.0,0.565373402108096,0.0,2521.0,0.0,1938.0,0.0,LSTM & 0.565 & 0.5 & 0.605 & 0.722 & 0.565 & 1.0 \\,
,LSTM_20221029-1500,20221029-1532,lstm_tuning,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,True,0.0,0.1,,False,100.0,0.0001,5.0,undersampling,0.8055617809295654,0.8003007173538208,0.8828965425491333,0.8301665186882019,0.8405394554138184,0.8200464248657227,0.7600619196891785,0.820046439628483,0.7856,2119.0,1473.0,465.0,402.0,LSTM & 0.806 & 0.8 & 0.883 & 0.83 & 0.82 & 0.841 \\,
